gene_id	gene_name	SS01	SS03
ENSG00000187010	RHD	0	0
ENSG00000183726	TMEM50A	6437	6514
ENSG00000188672	RHCE	25	21
ENSG00000204178	TMEM57	4458	3805
ENSG00000157978	LDLRAP1	258	213
ENSG00000117643	MAN1C1	5165	4102
ENSG00000162430	SEPN1	19341	8512
ENSG00000255054	RP1-317E23.6	0	0
ENSG00000117640	MTFR1L	4582	4350
ENSG00000127423	AUNIP	127	145
ENSG00000182749	PAQR7	538	551
ENSG00000117632	STMN1	25904	35646
ENSG00000158006	PAFAH2	614	604
ENSG00000158008	EXTL1	201	173
ENSG00000158014	SLC30A2	0	0
ENSG00000158022	TRIM63	0	6
ENSG00000175087	PDIK1L	907	1032
ENSG00000197245	FAM110D	9	14
ENSG00000282872	RP11-96L14.8	7	4
ENSG00000236782	RP11-96L14.7	16	12
ENSG00000142684	ZNF593	840	606
ENSG00000142675	CNKSR1	192	115
ENSG00000188782	CATSPER4	2	1
ENSG00000130695	CEP85	1188	1323
ENSG00000142669	SH3BGRL3	14832	10561
ENSG00000158062	UBXN11	1046	716
ENSG00000169442	CD52	8	5
ENSG00000176092	AIM1L	4	5
ENSG00000176083	ZNF683	1	0
ENSG00000131914	LIN28A	2	0
ENSG00000117682	DHDDS	1830	1506
ENSG00000198830	HMGN2	4207	3637
ENSG00000117676	RPS6KA1	938	661
ENSG00000117713	ARID1A	6023	5872
ENSG00000060642	PIGV	311	293
ENSG00000204160	ZDHHC18	2813	2112
ENSG00000175793	SFN	14	7
ENSG00000142751	GPN2	2629	2435
ENSG00000198746	GPATCH3	1532	1165
ENSG00000090273	NUDC	6699	6136
ENSG00000131910	NR0B2	7	1
ENSG00000175707	KDF1	0	0
ENSG00000253368	TRNP1	561	693
ENSG00000158246	FAM46B	60	82
ENSG00000280403	AL137860.1	0	0
ENSG00000090020	SLC9A1	2505	2207
ENSG00000142784	WDTC1	3208	2652
ENSG00000186501	TMEM222	3860	3844
ENSG00000142765	SYTL1	26	24
ENSG00000142733	MAP3K6	1624	1388
ENSG00000142748	FCN3	8	15
ENSG00000174950	CD164L2	7	0
ENSG00000181773	GPR3	1001	768
ENSG00000158195	WASF2	3089	2801
ENSG00000126705	AHDC1	3165	2717
ENSG00000000938	FGR	3	11
ENSG00000126709	IFI6	29547	24165
ENSG00000009780	FAM76A	620	482
ENSG00000117758	STX12	6338	6103
ENSG00000117751	PPP1R8	3379	3588
ENSG00000278868	AL109927.1	4	2
ENSG00000130775	THEMIS2	210	197
ENSG00000117748	RPA2	1957	2328
ENSG00000130768	SMPDL3B	7	14
ENSG00000158156	XKR8	173	152
ENSG00000158161	EYA3	1560	1405
ENSG00000169403	PTAFR	18	25
ENSG00000126698	DNAJC8	6565	6894
ENSG00000130770	ATPIF1	3760	3421
ENSG00000130766	SESN2	5903	6499
ENSG00000130772	MED18	589	634
ENSG00000204138	PHACTR4	2171	1975
ENSG00000180198	RCC1	2013	1844
ENSG00000180098	TRNAU1AP	1053	1115
ENSG00000120656	TAF12	972	1240
ENSG00000188060	RAB42	21	29
ENSG00000162419	GMEB1	700	692
ENSG00000198492	YTHDF2	5689	5565
ENSG00000116329	OPRD1	303	452
ENSG00000159023	EPB41	1245	1243
ENSG00000253304	TMEM200B	61	56
ENSG00000116350	SRSF4	9412	8237
ENSG00000116353	MECR	837	960
ENSG00000060656	PTPRU	1749	860
ENSG00000162510	MATN1	94	38
ENSG00000162511	LAPTM5	88	84
ENSG00000162512	SDC3	53611	39862
ENSG00000134644	PUM1	5924	5847
ENSG00000084628	NKAIN1	333	757
ENSG00000060688	SNRNP40	1957	2098
ENSG00000121766	ZCCHC17	2477	2604
ENSG00000121769	FABP3	302	266
ENSG00000168528	SERINC2	5455	4290
ENSG00000142910	TINAGL1	27	16
ENSG00000121764	HCRTR1	25	24
ENSG00000162517	PEF1	3709	3921
ENSG00000084636	COL16A1	6973	3882
ENSG00000121753	ADGRB2	18688	15946
ENSG00000134668	SPOCD1	3324	1211
ENSG00000184007	PTP4A2	14814	15771
ENSG00000121774	KHDRBS1	13734	13364
ENSG00000121775	TMEM39B	1453	1262
ENSG00000025800	KPNA6	4853	4458
ENSG00000084652	TXLNA	6749	7238
ENSG00000160050	CCDC28B	1618	2029
ENSG00000160051	IQCC	434	508
ENSG00000222046	DCDC2B	4	3
ENSG00000160055	TMEM234	562	587
ENSG00000084623	EIF3I	10307	9870
ENSG00000183615	FAM167B	17	25
ENSG00000182866	LCK	2	1
ENSG00000116478	HDAC1	5473	4856
ENSG00000175130	MARCKSL1	32328	31164
ENSG00000162526	TSSK3	9	3
ENSG00000225828	FAM229A	956	481
ENSG00000160058	BSDC1	8364	6320
ENSG00000254553	RP1-27O5.3	0	0
ENSG00000273274	ZBTB8B	190	226
ENSG00000160062	ZBTB8A	308	287
ENSG00000176261	ZBTB8OS	1212	1470
ENSG00000162521	RBBP4	8298	9194
ENSG00000162520	SYNC	289	220
ENSG00000162522	KIAA1522	706	397
ENSG00000134684	YARS	7721	8019
ENSG00000116497	S100PBP	1773	1940
ENSG00000160097	FNDC5	436	269
ENSG00000121905	HPCA	142	201
ENSG00000121900	TMEM54	2469	2593
ENSG00000116514	RNF19B	3012	3440
ENSG00000004455	AK2	4184	4428
ENSG00000142920	AZIN2	405	394
ENSG00000116525	TRIM62	1862	1616
ENSG00000160094	ZNF362	2462	2432
ENSG00000184389	A3GALT2	18	7
ENSG00000134686	PHC2	25232	17620
ENSG00000121903	ZSCAN20	232	200
ENSG00000121904	CSMD2	3212	1857
ENSG00000176256	HMGB4	0	0
ENSG00000142698	C1orf94	218	165
ENSG00000163866	SMIM12	1493	1458
ENSG00000189280	GJB5	0	0
ENSG00000189433	GJB4	0	0
ENSG00000188910	GJB3	7	5
ENSG00000187513	GJA4	0	0
ENSG00000116544	DLGAP3	865	738
ENSG00000271741	RP11-244H3.4	0	0
ENSG00000243749	TMEM35B	0	0
ENSG00000163867	ZMYM6	548	548
ENSG00000197056	ZMYM1	441	515
ENSG00000116560	SFPQ	30684	24513
ENSG00000146463	ZMYM4	4796	4711
ENSG00000142687	KIAA0319L	5986	5961
ENSG00000020129	NCDN	3629	2897
ENSG00000116819	TFAP2E	138	82
ENSG00000126067	PSMB2	8613	9666
ENSG00000142686	C1orf216	2752	3348
ENSG00000092853	CLSPN	498	520
ENSG00000134698	AGO4	1128	1233
ENSG00000092847	AGO1	2929	1834
ENSG00000126070	AGO3	1341	1049
ENSG00000092850	TEKT2	225	143
ENSG00000116863	ADPRHL2	2803	2506
ENSG00000171812	COL8A2	101	36
ENSG00000054116	TRAPPC3	2742	3409
ENSG00000116871	MAP7D1	13156	11735
ENSG00000054118	THRAP3	10006	8482
ENSG00000214193	SH3D21	350	269
ENSG00000142694	EVA1B	645	551
ENSG00000196182	STK40	7263	4840
ENSG00000181817	LSM10	2398	2541
ENSG00000116885	OSCP1	413	481
ENSG00000116898	MRPS15	2737	2603
ENSG00000119535	CSF3R	0	0
ENSG00000163873	GRIK3	19622	18719
ENSG00000163874	ZC3H12A	514	413
ENSG00000163875	MEAF6	3069	3349
ENSG00000163877	SNIP1	2009	1980
ENSG00000163879	DNALI1	2686	2065
ENSG00000134697	GNL2	3497	3324
ENSG00000169218	RSPO1	7	2
ENSG00000116922	C1orf109	1200	1202
ENSG00000134690	CDCA8	1800	1865
ENSG00000183317	EPHA10	108	88
ENSG00000185090	MANEAL	3078	3967
ENSG00000196449	YRDC	2593	2162
ENSG00000197982	C1orf122	3492	4082
ENSG00000188786	MTF1	1622	1412
ENSG00000204084	INPP5B	1122	1121
ENSG00000183431	SF3A3	4636	4977
ENSG00000183386	FHL3	2181	1641
ENSG00000183520	UTP11	3067	3104
ENSG00000185668	POU3F1	737	473
ENSG00000116954	RRAGC	2739	2162
ENSG00000214114	MYCBP	328	368
ENSG00000274944	RP5-864K19.6	0	0
ENSG00000131233	GJA9	0	0
ENSG00000158315	RHBDL2	67	57
ENSG00000174574	AKIRIN1	8917	7607
ENSG00000168653	NDUFS5	6504	6200
ENSG00000127603	MACF1	15752	9375
ENSG00000183682	BMP8A	32	14
ENSG00000090621	PABPC4	6335	5422
ENSG00000163909	HEYL	141	94
ENSG00000116981	NT5C1A	11	16
ENSG00000116983	HPCAL4	1758	1869
ENSG00000084072	PPIE	2581	2672
ENSG00000116985	BMP8B	1012	696
ENSG00000198754	OXCT2	10	11
ENSG00000043514	TRIT1	1908	1887
ENSG00000116990	MYCL	395	494
ENSG00000168389	MFSD2A	822	818
ENSG00000131236	CAP1	10031	9346
ENSG00000131238	PPT1	9392	10212
ENSG00000117000	RLF	5083	4531
ENSG00000188800	TMCO2	5	1
ENSG00000084073	ZMPSTE24	2763	2620
ENSG00000049089	COL9A2	325	282
ENSG00000084070	SMAP2	4400	4260
ENSG00000187801	ZFP69B	119	116
ENSG00000187815	ZFP69	378	368
ENSG00000164002	EXO5	3	4
ENSG00000117010	ZNF684	164	160
ENSG00000117016	RIMS3	1385	1558
ENSG00000066136	NFYC	2887	2506
ENSG00000117013	KCNQ4	121	135
ENSG00000179862	CITED4	162	125
ENSG00000171793	CTPS1	3307	3713
ENSG00000171790	SLFNL1	103	67
ENSG00000010803	SCMH1	3239	3069
ENSG00000204060	FOXO6	765	837
ENSG00000127129	EDN2	55	29
ENSG00000127124	HIVEP3	4003	2500
ENSG00000044012	GUCA2B	0	0
ENSG00000197273	GUCA2A	1	1
ENSG00000198815	FOXJ3	5453	4548
ENSG00000177181	RIMKLA	703	936
ENSG00000066185	ZMYND12	42	43
ENSG00000127125	PPCS	1039	953
ENSG00000186409	CCDC30	144	186
ENSG00000171960	PPIH	943	979
ENSG00000065978	YBX1	14348	14152
ENSG00000164007	CLDN19	1	0
ENSG00000117385	P3H1	9517	7420
ENSG00000164008	C1orf50	145	132
ENSG00000283580	RP5-994D16.12	2	0
ENSG00000274386	RP5-994D16.11	72	75
ENSG00000177868	SVBP	642	642
ENSG00000164010	ERMAP	640	535
ENSG00000164011	ZNF691	439	326
ENSG00000117394	SLC2A1	7995	9124
ENSG00000186973	FAM183A	13	14
ENSG00000117395	EBNA1BP2	2831	2893
ENSG00000243710	CFAP57	14	8
ENSG00000179178	TMEM125	0	0
ENSG00000253313	C1orf210	1	2
ENSG00000066056	TIE1	100	52
ENSG00000117400	MPL	0	0
ENSG00000117399	CDC20	1834	2290
ENSG00000066322	ELOVL1	2628	1765
ENSG00000159479	MED8	2188	2167
ENSG00000198198	SZT2	2095	1202
ENSG00000178922	HYI	720	618
ENSG00000142949	PTPRF	8510	7964
ENSG00000066135	KDM4A	4103	3947
ENSG00000126091	ST3GAL3	1694	1939
ENSG00000117407	ARTN	93	53
ENSG00000117408	IPO13	3652	3345
ENSG00000132768	DPH2	2155	1896
ENSG00000117410	ATP6V0B	11412	10721
ENSG00000117411	B4GALT2	5253	5203
ENSG00000159214	CCDC24	669	513
ENSG00000196517	SLC6A9	164	137
ENSG00000171872	KLF17	32	30
ENSG00000283039	KLF18	0	0
ENSG00000178028	DMAP1	3244	2661
ENSG00000117419	ERI3	4883	3967
ENSG00000187147	RNF220	4996	5053
ENSG00000126106	TMEM53	709	686
ENSG00000198520	C1orf228	62	70
ENSG00000142945	KIF2C	2824	3076
ENSG00000142937	RPS8	14988	15908
ENSG00000142959	BEST4	47	43
ENSG00000173846	PLK3	2900	2242
ENSG00000188396	TCTEX1D4	0	2
ENSG00000222009	BTBD19	341	233
ENSG00000117425	PTCH2	632	406
ENSG00000070785	EIF2B3	1341	1906
ENSG00000126107	HECTD3	2702	1830
ENSG00000126088	UROD	3073	2903
ENSG00000162415	ZSWIM5	943	1460
ENSG00000186603	HPDL	6	3
ENSG00000132781	MUTYH	1213	1012
ENSG00000132773	TOE1	988	1131
ENSG00000070759	TESK2	87	147
ENSG00000280670	CCDC163	129	170
ENSG00000132763	MMACHC	303	375
ENSG00000117450	PRDX1	18515	20873
ENSG00000117448	AKR1A1	3190	3330
ENSG00000132780	NASP	13284	11565
ENSG00000159588	CCDC17	55	29
ENSG00000159592	GPBP1L1	5374	5141
ENSG00000159596	TMEM69	969	839
ENSG00000197429	IPP	398	367
ENSG00000086015	MAST2	6544	5865
ENSG00000117461	PIK3R3	2596	3299
ENSG00000278139	RP4-533D7.6	0	0
ENSG00000117472	TSPAN1	17	21
ENSG00000250719	RP11-322N21.2	0	0
ENSG00000085998	POMGNT1	8000	7378
ENSG00000171357	LURAP1	127	102
ENSG00000085999	RAD54L	893	804
ENSG00000132128	LRRC41	5713	5409
ENSG00000173660	UQCRH	3486	3766
ENSG00000117481	NSUN4	1158	1174
ENSG00000117480	FAAH	400	347
ENSG00000197587	DMBX1	97	196
ENSG00000282881	RP11-49P4.7	0	0
ENSG00000162456	KNCN	3	0
ENSG00000079277	MKNK1	616	595
ENSG00000142961	MOB3C	441	406
ENSG00000123472	ATPAF1	2126	3009
ENSG00000186118	TEX38	0	0
ENSG00000159658	EFCAB14	4855	3228
ENSG00000142973	CYP4B1	0	0
ENSG00000187048	CYP4A11	0	0
ENSG00000186377	CYP4X1	21	22
ENSG00000186160	CYP4Z1	0	0
ENSG00000162365	CYP4A22	1	0
ENSG00000162366	PDZK1IP1	0	0
ENSG00000162367	TAL1	54	37
ENSG00000123473	STIL	1118	974
ENSG00000162368	CMPK1	5104	5976
ENSG00000186790	FOXE3	18	7
ENSG00000186564	FOXD2	73	81
ENSG00000269113	TRABD2B	79	69
ENSG00000279096	AL356289.1	0	0
ENSG00000117834	SLC5A9	4	2
ENSG00000132122	SPATA6	3078	3407
ENSG00000186094	AGBL4	44	31
ENSG00000162373	BEND5	1124	1441
ENSG00000162374	ELAVL4	3707	6302
ENSG00000142700	DMRTA2	203	157
ENSG00000185104	FAF1	1946	2476
ENSG00000123080	CDKN2C	4580	5551
ENSG00000204006	C1orf185	1	2
ENSG00000123091	RNF11	4605	4882
ENSG00000085831	TTC39A	25	24
ENSG00000085832	EPS15	1322	1243
ENSG00000117859	OSBPL9	1804	1738
ENSG00000078618	NRDC	8807	9650
ENSG00000169213	RAB3B	701	1058
ENSG00000117862	TXNDC12	4434	3461
ENSG00000198841	KTI12	1081	1028
ENSG00000134717	BTF3L4	2431	3023
ENSG00000157077	ZFYVE9	1398	1601
ENSG00000154222	CC2D1B	2544	1627
ENSG00000085840	ORC1	453	464
ENSG00000134748	PRPF38A	3338	3250
ENSG00000134744	ZCCHC11	3565	3176
ENSG00000116157	GPX7	738	979
ENSG00000182183	FAM159A	36	26
ENSG00000162377	COA7	1330	1581
